price,beds,baths,average_rent,year_of_completion,total_parking_spaces,total_floors,total_building_area_sqft,elevators,price_y,year,month,quarter,price_category_te,type_te,furnishing_te,completion_status_te,building_name_te,area_name_te,city_te
1200000,3,3,80764,0,0,0,0,0,121.22051503655142,2023,10,4,109.21627017889637,145.2005209924965,132.01512830839363,127.24426147864546,132.5119970957668,131.06197645859848,133.6791444548438
850000,1,2,0,0,0,0,0,0,111.08912506570142,2024,2,1,109.24806721408295,122.6693146374798,132.44936528280306,135.49426409689977,132.87013357142845,119.76465705741849,134.01337803947592
2539210,4,5,0,0,0,0,0,0,146.4214972986155,2024,4,2,138.2818313564658,148.7566013286269,132.02870312123673,135.08362094295796,132.65475570083052,148.4201659720345,131.64299689042448
2552000,2,3,0,0,0,0,0,0,146.6064916309555,2024,4,2,138.0545921712828,122.3290415905496,132.01512830839363,135.14854404099322,132.5119970957668,129.59046358742745,132.3612228182074
6000000,5,6,0,0,0,0,0,0,181.63526647392513,2024,1,1,163.41810795276115,148.7566013286269,132.02870312123673,127.38117836021159,132.65475570083052,135.07748693174096,133.60313587791276
4150000,5,6,0,0,0,0,0,0,165.6284819421375,2024,2,1,163.41810795276115,148.7566013286269,127.77768367759731,135.08362094295796,132.65475570083052,158.3995023545516,131.64299689042448
525000,4,6,0,0,0,0,0,0,98.28978343098697,2024,3,1,109.19547218888867,124.51315138183743,132.02870312123673,135.08362094295796,132.65475570083052,116.77554510119452,112.51738853074667
3400000,3,4,0,0,0,0,0,0,157.555937552087,2023,12,4,163.42022386241754,145.1564642236749,132.44936528280306,135.49426409689977,132.87013357142845,124.51387083967624,133.62254616576647
1300000,1,1,88965,0,0,0,0,0,123.696836779813,2024,4,2,109.24806721408295,122.6693146374798,132.44936528280306,127.47067184865425,132.87013357142845,134.9447383674371,133.62254616576647
5417000,4,5,0,0,0,0,0,0,177.05150819022896,2024,4,2,163.53996448237965,149.08889713720905,132.06339393006098,134.9521308553659,132.52140208978395,150.9387547897004,131.41932212972452
875000,1,2,0,0,0,0,0,0,111.90828064488484,2024,4,2,109.08658606313494,122.43021015341043,132.14265682250962,135.03015084130215,132.63282854487807,120.56036465849816,133.67336753417774
3004800,2,2,0,0,0,0,0,0,152.7458110898013,2024,4,2,163.37190824681323,122.43021015341043,132.14265682250962,135.03015084130215,132.63282854487807,142.77200611167825,134.0631785744186
1035000,1,1,105816,2008,0,13,106,0,116.76982623763091,2024,3,1,109.19547218888867,122.49062797914426,132.02870312123673,127.38117836021159,114.2640853958152,129.88083206939893,133.60313587791276
1000000,1,1,57751,0,0,0,0,0,115.75760619505428,2023,9,3,109.21627017889637,122.3290415905496,132.01512830839363,127.24426147864546,132.5119970957668,124.55471097811852,133.32706977238914
2450000,3,4,184345,0,0,0,0,0,145.11119363066373,2024,4,2,138.15815726569912,145.17171701424283,132.06339393006098,127.3908629629186,132.52140208978395,141.03541689973645,133.62286642297357
4300000,3,3,0,0,0,0,0,0,167.10815970335156,2024,1,1,163.41810795276115,148.7566013286269,127.77768367759731,135.08362094295796,132.65475570083052,170.32546426180588,133.60313587791276
1600000,1,1,0,0,0,0,0,0,130.35120986446273,2024,1,1,138.15815726569912,122.37778707057632,132.06339393006098,134.9521308553659,132.52140208978395,137.76824261761791,133.4713455545535
3000000,3,5,144877,0,0,0,0,0,152.6845231991854,2024,4,2,163.37190824681323,122.43021015341043,132.14265682250962,127.47867440349752,132.63282854487807,124.2992489659588,133.5323446969761
430000,3,4,41736,0,0,0,0,0,93.41348254070846,2024,2,1,109.08658606313494,122.43021015341043,132.14265682250962,127.47867440349752,132.63282854487807,89.51698572500972,112.5098207925535
870000,1,2,0,0,0,0,0,0,111.74587742916893,2024,3,1,109.08658606313494,122.43021015341043,127.36966080736877,135.03015084130215,132.63282854487807,104.66326671486739,133.67336753417774
550000,2,2,34302,0,0,0,0,0,99.46081177811156,2024,4,2,109.21627017889637,122.3290415905496,132.01512830839363,127.24426147864546,132.5119970957668,113.1050559567508,131.9244965704809
2389000,4,5,0,0,0,0,0,0,144.19433319444764,2024,4,2,138.22067501009343,145.1564642236749,132.44936528280306,135.49426409689977,132.87013357142845,149.33473543234717,132.00102069039042
720000,1,2,53868,0,0,0,0,0,106.50873510821255,2024,4,2,109.19547218888867,122.49062797914426,132.02870312123673,127.38117836021159,132.65475570083052,124.61945164888246,133.7373114692438
1528990,2,2,0,0,0,0,0,0,128.86737313725976,2024,4,2,138.0545921712828,122.3290415905496,132.01512830839363,135.14854404099322,132.5119970957668,120.30496546035636,133.6791444548438
4400000,5,7,0,0,0,0,0,0,168.0730801179795,2023,11,4,163.53996448237965,149.08889713720905,127.13064872826803,134.9521308553659,132.52140208978395,132.20419734654752,133.4713455545535
1739088,2,3,0,0,0,0,0,0,133.1191067924082,2024,3,1,138.15815726569912,122.37778707057632,132.06339393006098,134.9521308553659,132.52140208978395,123.81138091226437,133.4713455545535
2100000,2,3,0,0,0,0,0,0,139.59294261767778,2024,4,2,138.0545921712828,122.3290415905496,132.01512830839363,135.14854404099322,132.5119970957668,124.55471097811852,133.32706977238914
920000,1,2,106460,0,0,0,0,0,113.33923967298496,2024,1,1,109.21627017889637,122.3290415905496,127.6534440051615,127.24426147864546,132.5119970957668,120.30496546035636,133.6791444548438
1400000,1,2,0,0,0,0,0,0,126.03315924926262,2024,4,2,138.0545921712828,122.3290415905496,127.6534440051615,135.14854404099322,132.5119970957668,123.92625069599974,133.6791444548438
596205,1,2,40465,2024,0,8,111,0,101.52322848164071,2024,3,1,109.08658606313494,122.43021015341043,132.14265682250962,127.47867440349752,99.2439785546946,102.41478933448504,133.67336753417774
4721000,3,3,0,0,0,0,0,0,171.06257004042746,2023,9,3,163.53996448237965,122.37778707057632,132.06339393006098,127.3908629629186,132.52140208978395,140.9808087370376,133.4713455545535
310000,1,2,0,0,0,0,0,0,85.91736431522114,2023,6,2,109.24806721408295,125.9265236111704,132.44936528280306,135.49426409689977,132.87013357142845,119.6386801487375,112.518973094454
1800000,1,1,112527,2008,0,7,58,0,134.2787856981627,2024,3,1,138.15815726569912,122.37778707057632,127.13064872826803,127.3908629629186,134.2787856981627,148.81736314069897,133.4713455545535
3490888,5,5,0,0,0,0,0,0,158.6018470363037,2024,3,1,163.42022386241754,145.1564642236749,132.44936528280306,135.49426409689977,132.87013357142845,147.67873694787767,134.01337803947592
1370000,5,7,111259,0,0,0,0,0,125.34587694420293,2024,4,2,109.24806721408295,149.26251221180993,132.44936528280306,127.47067184865425,132.87013357142845,122.75985033884265,112.518973094454
2850000,3,4,186142,2013,0,5,200,0,150.73082531593073,2023,11,4,138.2818313564658,122.49062797914426,132.02870312123673,127.38117836021159,155.1777784877478,145.05969159931985,133.60313587791276
1426000,1,2,0,0,0,0,0,0,126.61986026443655,2024,4,2,138.1580288702424,122.43021015341043,132.14265682250962,135.03015084130215,132.63282854487807,124.2992489659588,133.5323446969761
3099999,4,5,221708,0,0,0,0,0,153.94633244709541,2024,3,1,163.53996448237965,149.08889713720905,132.06339393006098,127.3908629629186,132.52140208978395,153.5429029613249,133.62286642297357
2400000,4,5,0,0,0,0,0,0,144.3609655471213,2023,11,4,138.0545921712828,149.241012813709,132.01512830839363,135.14854404099322,132.5119970957668,137.39744975807957,133.6791444548438
2300000,4,4,0,0,0,0,0,0,142.82435143465744,2024,4,2,138.1580288702424,145.09728886157782,132.14265682250962,135.03015084130215,132.63282854487807,146.08232563991157,133.67336753417774
414000,0,1,0,0,0,0,0,0,92.51375830306203,2024,4,2,109.21627017889637,122.3290415905496,132.01512830839363,135.14854404099322,132.5119970957668,119.0824907554143,131.9244965704809
4500000,2,3,0,0,0,0,0,0,169.0215714497603,2024,3,1,163.56997813733977,122.3290415905496,132.01512830839363,135.14854404099322,132.5119970957668,141.00361893159373,133.32706977238914
1417254,0,1,0,0,0,0,0,0,126.42341185082836,2024,1,1,138.0545921712828,122.3290415905496,132.01512830839363,135.14854404099322,132.5119970957668,141.00361893159373,133.32706977238914
