price,price_category,beds,baths,average_rent,year_of_completion,total_parking_spaces,total_floors,total_building_area_sqft,elevators,price_y,year,month,quarter,type_Hotel Apartment,type_Penthouse,type_Residential Building,type_Residential Floor,type_Residential Plot,type_Townhouse,type_Villa,type_Villa Compound,furnishing_Unfurnished,completion_status_Ready,city_Ajman,city_Al Ain,city_Dubai,city_Fujairah,city_Ras Al Khaimah,city_Sharjah,city_Umm Al Quwain,area_name_Aljada,area_name_Arjan,area_name_Business Bay,area_name_Downtown Dubai,area_name_Dubai Creek Harbour,area_name_Dubai Harbour,area_name_Dubai Hills Estate,area_name_Dubai Marina,area_name_Jumeirah Lake Towers (JLT),area_name_Jumeirah Village Circle (JVC),area_name_Other,area_name_Palm Jumeirah,area_name_Saadiyat Island,area_name_Sobha Hartland,area_name_Yas Island
18500000,2,4,5,991875,0,0,0,0,0,25.364348079463024,2024,2,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1800000,1,2,3,147632,0,0,0,0,0,20.54209980177202,2024,3,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2400000,1,3,4,140420,0,0,0,0,0,21.109503636453685,2024,3,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2700000,1,2,2,153245,2023,360,6,144,2,21.34401851196047,2024,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1544130,1,2,3,0,0,0,0,0,0,20.242789460770503,2024,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
199000,0,1,2,26148,0,0,0,0,0,16.4420742780053,2023,11,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1740000,1,3,3,140054,2023,252,21,357,4,20.4757353715642,2024,4,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2300000,1,3,4,0,0,0,0,0,0,21.025080945464353,2023,7,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1975000,1,1,2,127341,2007,0,53,454,0,20.72426398071441,2024,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2300000,1,2,3,0,0,0,0,0,0,21.025080945464353,2024,3,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2700000,1,3,4,0,0,0,0,0,0,21.34401851196047,2024,4,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4200000,2,3,2,294901,2012,0,27,325,0,22.235323822527565,2024,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
680000,0,2,2,52468,0,0,0,0,0,18.67769373233756,2023,9,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1066000,0,1,2,0,0,0,0,0,0,19.528223071139664,2024,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000,1,2,3,75363,2022,882,15,287,4,20.186427304085885,2024,4,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3850000,2,3,3,0,0,1383,76,1,9,22.05833955839022,2024,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1486000,1,2,3,0,0,0,0,0,0,20.1682160951385,2024,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000,1,1,1,118359,2023,111,15,199,3,20.186427304085885,2024,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1400000,1,0,1,0,0,0,0,0,0,20.0526238448805,2024,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1900000,1,1,2,136039,2023,185,22,357,4,20.648157404772785,2024,4,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3900000,2,2,2,0,0,551,11,1,12,22.084540161357598,2023,10,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1300000,0,1,2,144133,2018,68,4,52,2,19.909379590877176,2024,4,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3400000,2,1,1,0,0,342,61,892,5,21.806757494195708,2024,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
